rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,release_date,duration
112,tlinh,đừng làm nó phức tạp,Universal Music Indochina Distributed Labels,112,-1,1,166639,1,2024-01-26,289.0
113,Taylor Swift,Cruel Summer,Taylor Swift,5,102,40,166314,1,2019-08-23,178.0
114,"Gill, tlinh, Kewtiie",Mắt Xanh,M Music Records,60,132,56,165242,1,2022-12-10,170.0
115,"NÂN, Ngơ",Tình Đắng Như Ly Cà Phê,nân,15,141,213,165048,1,2018-04-01,215.0
116,"BAN, CoolKid",MD Anniversary,M Music Records,52,108,15,164861,1,2023-10-10,140.0
117,"SUNI Hạ Linh, Hoàng Dũng, GREY D, Orange, tlinh",có hẹn với thanh xuân,Universal Music Indochina Distributed Labels,27,129,79,161829,1,2022-07-24,222.0
118,"W/N, Tezzy, Tien",Crush 2,RioX Records,61,118,84,161485,1,2019-12-07,120.0
119,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,111,164,161462,1,2022-09-09,279.0
120,"Đen, Phương Anh Đào",Lối Nhỏ,Đen,1,133,223,161138,1,2019-10-21,253.0
121,Ronboogz,Anh Chỉ Muốn,MaiDao Music,117,117,3,159641,1,2023-10-18,168.0
122,"Dept, Ashley Alisha",Van Gogh (feat. Ashley Alisha),WM Korea,41,113,9,157732,1,2022-12-01,192.0
123,Thịnh Suy,Chuyện Rằng,Yin Yang Media,5,125,182,157267,1,2020-08-08,272.0
124,"Wren Evans, itsnk",Việt Kiều,Universal Music Indochina,57,127,9,156269,1,2023-12-17,171.0
125,Lynk Lee,Buồn Thì Cứ Khóc Đi,Lynk Lee,10,134,214,156051,1,2019-12-13,222.0
126,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,137,87,155676,1,2018-01-01,231.0
127,"MONO, Onionn.",Em Là,M Music Records,8,124,73,155516,1,2022-08-18,197.0
128,Jimin,Closer Than This,BIGHIT MUSIC,3,94,6,155394,1,2023-12-22,223.0
129,Low G,Okeokeoke,Rap Nhà Làm,103,112,43,155035,1,2020-11-09,139.0
130,"W/N, 267",id T41104 (feat. 267),W NATION,26,121,13,153628,1,2023-10-31,200.0
131,"HIEUTHUHAI, Harmonie",Bật Nhạc Lên,GERDNANG,59,150,171,153192,1,2020-06-12,200.0
132,Rhymastic,Nến Và Hoa,WM Vietnam,2,138,190,153015,1,2018-08-19,166.0
133,Bình Gold,Trăng Hoa Mây Mưa,Binh Gold,133,146,2,152984,1,2024-01-13,194.0
134,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,106,131,67,152838,1,2022-03-28,270.0
135,Thắng,Trước Khi Em Tồn Tại,Thắng,22,120,37,151540,1,2023-04-30,194.0
136,"Rapital, Groovie Lã Thắng, tlinh, RPT MCK",XTC (Xích Thêm Chút) (Remix),M Music Records,87,140,135,150821,1,2021-06-21,244.0
137,Andiez,Suýt Nữa Thì...,MaiDao Music,82,139,82,149706,1,2018-08-13,281.0
138,"HIEUTHUHAI, B Ray, Tage",Không Phải Gu,M Music Records,51,161,16,149246,1,2023-10-16,201.0
139,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,171,74,148874,1,2020-06-29,217.0
140,Sơn Tùng M-TP,Âm Thầm Bên Em,Universal Music Indochina Distributed Labels,35,136,171,148539,1,2017-04-01,293.0
141,"Vũ., TRANG",Anh Nhớ Ra (feat. TRANG),WM Vietnam,19,128,68,148210,1,2022-09-09,277.0
142,Da LAB,Thanh Xuân,Sony Music Entertainment,1,135,284,146199,1,2018-08-24,221.0
143,"tlinh, 2pillz, WOKEUP",ghệ iu dấu của em ơi,Universal Music Indochina Distributed Labels,8,145,49,145618,1,2023-08-16,205.0
144,Dhruv,double take,Little Worry/RCA Records,8,144,143,145479,1,2022-01-21,172.0
145,"Tăng Duy Tân, Hoà Minzy",Bật Tình Yêu Lên,Big Arts Entertainment,4,126,50,144941,1,2023-02-14,204.0
146,"PC, Dick, tofutns",Ghé Qua,12 trái lê,64,149,176,143757,1,2017-12-08,237.0
147,buitruonglinh,Yêu Người Có Ước Mơ,LOOPS Music,83,143,42,143670,1,2022-12-26,296.0
148,VSTRA,Internet Love,CDSL,56,155,108,142259,1,2021-02-14,219.0
149,"Đen, PiaLinh",Nấu ăn cho em,Đen,8,-1,30,142159,1,2023-05-13,241.0
150,"Changg, Minh Huy",Em Không Hiểu,Universal Music Indochina Distributed Labels,27,148,135,141317,1,2021-06-28,237.0
151,Uyên Linh,Anh - Uyên Linh Version,Universal Music Indochina Distributed Labels,115,115,3,141230,1,2024-01-13,182.0
152,"Ngọt, Đen",Cho Tôi Lang Thang,Ngọt,35,158,192,140935,1,2018-03-27,259.0
153,Andiez,Chờ Đợi Có Đáng Sợ,Yin Yang Media,76,152,85,139747,1,2020-07-20,283.0
154,Ronboogz,Khi Mà,MaiDao Music,147,147,9,139557,1,2022-12-12,229.0
155,Đức Phúc,Ngày Đầu Tiên,Duc Phuc,2,167,101,139003,1,2022-02-11,209.0
156,"Obito, Seachains",Simple Love,12 trái lê,156,159,9,138936,1,2022-11-29,214.0
157,"Đen, MIN",Bài Này Chill Phết,Đen,1,160,244,137843,1,2019-01-01,276.0
158,"UMI, V",wherever u r (ft. V of BTS),UMI Inc under exclusive license to Unitedmasters LLC,6,83,5,136951,1,2023-12-30,153.0
159,"Olew, Ngắn",Vườn Hoa Con Cá (feat. Ngắn),Sony Music Entertainment,125,130,4,136912,1,2023-06-08,235.0
160,"Văn Mai Hương, Hứa Kim Tuyền",Một Ngàn Nỗi Đau,Yin Yang Media,7,169,84,134238,1,2022-06-23,322.0
161,Tama,Ngày Em Đẹp Nhất,Tama,104,151,34,134098,1,2023-04-07,303.0
162,"Rapital, RPT MCK, Phongkhin",Tay To,M Music Records,58,168,134,134017,1,2021-06-21,165.0
163,"2T, Văn",Liệu Giờ,LOOPS Music,22,156,178,133270,1,2019-04-14,259.0
164,"W/N, Duongg, Nau",3 1 0 7 - 2 (feat. DuongG & Nau),GUM GROUP,27,162,153,133077,1,2021-02-04,269.0
165,Vũ.,Bước Qua Nhau,WM Vietnam,1,163,106,132605,1,2022-09-09,258.0
166,Hoàng Dũng,Nàng Thơ,Yin Yang Media,2,170,181,131898,1,2020-12-16,254.0
167,Phương Ly,ThichThich,PHUONG LY,9,175,80,131722,1,2022-07-24,242.0
168,"Obito, Shiki, Lăng LD",Đầu Đường Xó Chợ,12 trái lê,39,153,13,131684,1,2023-10-10,185.0
169,SOOBIN,Đi Để Trở Về,TTV Entertainment,51,-1,11,131082,1,2017-01-17,202.0
170,"Puppy, Dangrangto",Wrong Times,MaiDao Music,73,192,13,130939,1,2023-05-17,211.0
171,Sáo,Ngồi Nhìn Em Khóc,Yin Yang Media,95,173,38,130571,1,2023-04-24,273.0
172,Chillies,Mascara,WM Vietnam,3,166,175,128546,1,2021-05-05,293.0
173,"Sean, Lửa",Em Thích,MaiDao Music,65,174,55,128221,1,2021-12-03,176.0
174,Ariana Grande,"yes, and?",Republic Records,38,90,3,127909,1,2024-01-12,215.0
175,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,MUNIZ MUSIC COMPANY LIMITED,114,197,54,127777,1,2019-09-12,286.0
176,"Low G, Wren Evans",Fashion Tán Gái,Universal Music Pte. Ltd. Distributed Labels,53,182,12,126436,1,2021-12-28,226.0
177,Tate McRae,greedy,RCA Records Label,107,157,17,126129,1,2023-09-15,132.0
178,"Wxrdie, WOKEUP, 2pillz",Vinflow,LOOPS Music,142,142,14,125435,1,2023-04-20,169.0
179,"Phí Phương Anh, RIN9",Răng Khôn (feat. RIN9),Yin Yang Media,6,178,101,124094,1,2021-04-22,232.0
180,Thịnh Suy,Thắc Mắc?,InQ International,137,172,8,123980,1,2019-01-01,206.0
181,SOOBIN,Tháng Năm,Spacespeakers,6,-1,115,123583,1,2020-12-15,225.0
182,"Văn Mai Hương, GREY D, Trung Quân",Mưa Tháng Sáu,Yin Yang Media,6,-1,24,123030,1,2023-10-24,257.0
183,Low G,Càng Cua,Nhà Hóa Học Đống Đa,66,164,22,122349,1,2022-02-03,140.0
184,Sơn Tùng M-TP,Một Năm Mới Bình An,Universal Music Indochina Distributed Labels,60,-1,8,122078,1,2017-04-01,247.0
185,JustaTee,Đã Lỡ Yêu Em Nhiều,NGUYEN THANH TUAN,36,185,66,121872,1,2022-07-11,261.0
186,Vũ Cát Tường,Mơ,Universal Music Indochina Distributed Labels,132,188,78,121808,1,2016-01-01,262.0
187,Sơn Tùng M-TP,Nơi Này Có Anh,Universal Music Indochina Distributed Labels,5,190,246,121548,1,2017-04-01,260.0
188,Táo,Blue Tequila,Yin Yang Media,26,187,173,120139,1,2020-08-27,203.0
189,"Hoàng Thùy Linh, JustaTee, Đen",Làm Gì Phải Hốt,NGUYEN THANH TUAN,16,-1,112,119961,1,2020-01-05,189.0
190,tlinh,thế giới thần tiên,Universal Music Indochina Distributed Labels,62,189,23,119770,1,2023-08-16,171.0
191,AMEE,trời giấu trời mang đi,Yin Yang Media,52,186,53,119733,1,2020-06-29,254.0
192,"Wxrdie, RPT JasonDilla, 24k.Right",Nhạc Trap Căng Nhất 2023,LOOPS Music,116,181,15,118963,1,2023-04-20,214.0
193,"Tùng TeA, PC, TaynguyenSound",Già Cùng Nhau Là Được,12 trái lê,70,183,100,118752,1,2018-11-13,231.0
194,Captain,Quên Dần Quên,MaiDao Music,154,154,3,118207,1,2024-01-11,263.0
195,Chillies,Giấc Mơ Khác,WM Vietnam,14,165,51,118144,1,2023-02-09,223.0
196,JVKE,golden hour,JVKE,6,179,66,117723,1,2022-09-23,209.0
197,"Orange, Hoàng Dũng",Khi Em Lớn,Orange,4,193,138,116748,1,2021-04-20,228.0
198,Thắng,Xin Lỗi,Thắng,5,-1,37,116336,1,2023-04-30,127.0
199,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,82,184,15,116005,1,2023-09-20,265.0
200,tlinh,người điên,Universal Music Indochina Distributed Labels,10,-1,23,116004,1,2023-08-16,147.0
1,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,1,33,1217784,2,2023-11-03,184.0
2,Beat Record,Standing Next to You - Sped Up - Remix,Pablo Nunes,1,2,17,977406,2,2024-02-28,211.0
3,Phan Mạnh Quỳnh,"Sau Lời Từ Khước (Theme Song From ""MAI"")",Yin Yang Media,3,3,2,964968,2,2024-02-14,250.0
4,"Wren Evans, itsnk",Từng Quen,Universal Music Indochina,1,4,18,716244,2,2023-12-17,175.0
5,"Vũ., Dear Jane",Những Lời Hứa Bỏ Quên,WM Vietnam,1,5,11,713740,2,2023-12-14,236.0
6,V,Love Me Again,BIGHIT MUSIC,2,6,29,670047,2,2023-08-11,182.0
7,Jimin,Like Crazy,BIGHIT MUSIC,1,9,49,629853,2,2023-03-24,212.0
8,"VSOUL, RPT MCK, Obito, Ronboogz, Boyzed","Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)",12 trái lê,3,10,10,562293,2,2023-12-25,292.0
9,"Wren Evans, itsnk",Tò Te Tí,Universal Music Indochina,3,8,11,553185,2,2023-12-17,195.0
10,"RHYDER, CoolKid, BAN",Chịu Cách Mình Nói Thua,RHYDER,6,11,14,523509,2,2023-11-22,182.0
11,"The Masked Singer, Lâm Bảo Ngọc, Hứa Kim Tuyền",Rồi Em Sẽ Gặp Một Chàng Trai Khác,THE MASKED SINGER,11,15,15,511846,2,2023-11-12,304.0
12,"Kai Đinh, GREY D, Hoàng Thùy Linh",Trái đất ôm Mặt trời,Yin Yang Media,8,12,10,499994,2,2023-12-18,195.0
13,Low G,Simp Gái 808,Rap Nhà Làm,9,13,20,472587,2,2023-10-18,162.0
14,"tlinh, 2pillz",nếu lúc đó,Universal Music Indochina Distributed Labels,1,18,52,456039,2,2023-08-16,264.0
15,HIEUTHUHAI,Không Thể Say,M Music Records,7,16,45,448392,2,2023-10-16,228.0
16,"MONO, Onionn.",Em Xinh,M Music Records,10,17,9,447977,2,2023-11-30,183.0
17,"52Hz, RIO",ĐỢI (Prod. RIO),DAO Entertainment,14,19,8,446788,2,2023-12-15,197.0
18,"Wren Evans, itsnk",Phóng Đổ Tim Em,Universal Music Indochina,9,14,11,446547,2,2023-12-17,134.0
19,"RPT MCK, Trung Trần",Chìm Sâu,N0L4B3L,1,20,105,424279,2,2023-03-02,156.0
20,"Karik, GDucky",Bạn Đời,WM Vietnam,5,21,22,415461,2,2023-10-04,301.0
21,"WEAN, tlinh",shhhhhhh..,WEAN,9,22,21,407578,2,2023-10-07,231.0
22,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,22,30,26,397162,2,2023-07-28,155.0
23,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,11,28,21,396058,2,2023-10-10,166.0
24,"Obito, Shiki, RPT MCK",Đánh Đổi,12 trái lê,7,23,21,393157,2,2023-10-10,227.0
25,Phương Ly,Anh Là Ngoại Lệ Của Em,WM Vietnam,7,27,21,388825,2,2023-10-05,188.0
26,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,24,25,20,387217,2,2023-10-16,202.0
27,Ngọt,01 Chuyện Dở Dang,Ngọt,27,-1,1,368503,2,2024-02-23,212.0
28,RPT MCK,Anh Đã Ổn Hơn,N0L4B3L,3,24,52,365192,2,2023-03-02,194.0
29,Kha,Hư không,MaiDao Music,29,31,7,364661,2,2023-12-14,355.0
30,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,29,117,362084,2,2021-12-01,208.0
31,"Wren Evans, itsnk",bé ơi từ từ,Universal Music Indochina,8,26,11,360874,2,2023-12-17,201.0
32,"Vũ Phụng Tiên, DT Tập Rap, Drum7",Lệ Lưu Ly,Big Arts Entertainment,6,33,23,357564,2,2023-09-20,201.0
33,"Madihu, Vũ.",Vì Anh Đâu Có Biết,WM Vietnam,2,32,82,357131,2,2022-08-04,242.0
34,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,35,22,356781,2,2023-10-02,202.0
35,W/N,id 072019,Universal Music Indochina Distributed Labels,3,40,31,349761,2,2023-07-31,272.0
36,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,M Music Records,2,39,89,347130,2,2022-06-20,226.0
37,Ronboogz,nhắn nhủ,MaiDao Music,27,34,11,338517,2,2023-12-12,241.0
38,"BigDaddy, Emily",Yêu Nắm,Yin Yang Media,38,61,2,332277,2,2024-02-13,227.0
